Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.3562527179902E-05,-0.00590971793251037,0.843647614040915,0,0,0,10.6875075459949,0.369166290134353,-1.09800431762322E-08,-2.65717180673806E-05,0.366929421492863,-4.40923295784043E-11,0.0155303148832649,0,0,0,0,0,0,package://sixArmHand/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sixArmHand/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulderPitch_Link,0.00564619322967518,-0.0388011617673537,2.59837315486067E-06,0,0,0,0.46726632049004,0.000399813771841688,3.18591804143914E-05,-5.46038795579012E-10,0.00028754222084699,1.36442767870995E-06,0.000254117183590909,0,0,0,0,0,0,package://sixArmHand/meshes/shoulderPitch_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sixArmHand/meshes/shoulderPitch_Link.STL,,shoulderPitch_link-1,shoulderPitch_link,shoulderPitch_axis,shoulderPitch,revolute,8.8679E-05,-0.185,1.18,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
shoulderRoll_Link,-0.0199126166365459,2.89601151149954E-05,-0.0740087713535413,0,0,0,0.419772107473911,0.000433353050610292,-2.69038724505281E-07,-6.24263594181734E-05,0.000408481342435734,-1.66550940469567E-08,0.000192251180848283,0,0,0,0,0,0,package://sixArmHand/meshes/shoulderRoll_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sixArmHand/meshes/shoulderRoll_Link.STL,,shoulderRoll_link-1,shoulderRoll_link,shoulderRoll_axis,shoulderRoll,revolute,0.035,-0.052,0,0,0,0,shoulderPitch_Link,-1,0,0,0,0,0,0,,,,,,,,
shoulderYaw_Link,0.00656055179830629,2.90440103517531E-06,-0.10861093303565,0,0,0,0.403452087830578,0.000244599346494787,1.67313795390288E-08,8.78933058031097E-06,0.000203262269064636,-7.30893918984527E-07,0.000136352484194931,0,0,0,0,0,0,package://sixArmHand/meshes/shoulderYaw_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sixArmHand/meshes/shoulderYaw_Link.STL,,shoulderYaw_link-1,shoulderYaw_link,shoulderYaw_axis,shoulderYaw,revolute,-0.035009,0,-0.116,0,0,0,shoulderRoll_Link,0,0,-1,0,0,0,0,,,,,,,,
elbowRoll_Link,-0.00738820409777829,-1.00321901477796E-06,-0.0593095691808454,0,0,0,0.151796397464374,0.000189801415883418,-3.17669130469068E-10,-3.78850276737954E-05,0.000182437215525365,-1.37670316430067E-09,8.44118119449699E-05,0,0,0,0,0,0,package://sixArmHand/meshes/elbowRoll_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sixArmHand/meshes/elbowRoll_Link.STL,,elbowRoll_link-1,elbowRoll_link,elbowRoll_axis,elbowRoll,revolute,0.034989,0,-0.144,0,0,0,shoulderYaw_Link,-1,0,0,0,0,0,0,,,,,,,,
wristYaw_Link,-0.0110072042858961,9.00744748022486E-06,-0.0919568730668572,0,0,0,0.335351440910377,0.000196408493546082,6.85439502098526E-08,-6.68611866426507E-07,0.000192751420074017,4.5521068979922E-08,0.000114531535457464,0,0,0,0,0,0,package://sixArmHand/meshes/wristYaw_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sixArmHand/meshes/wristYaw_Link.STL,,wristYaw_link-1,wristYaw_link,wristYaw_axis,wristYaw,revolute,-0.035008,0,-0.101,0,0,0,elbowRoll_Link,0,0,1,0,0,0,0,,,,,,,,
wristPitch_Link,0.000861733289080682,0.0016812764550127,-0.0745105520843234,0,0,0,0.0799816292892163,2.50894522854529E-05,-1.27452216950587E-07,1.3290884331058E-06,3.68917834676378E-05,-3.66388617266229E-09,1.4492968393251E-05,0,0,0,0,0,0,package://sixArmHand/meshes/wristPitch_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixArmHand/meshes/wristPitch_Link.STL,,wrist Pitch_link-2,wristPitch_link,wristPitch_axis,wristPitch,revolute,-1.1949E-05,0,-0.159,0,0,0,wristYaw_Link,-1,0,0,0,0,0,0,,,,,,,,
CMCXX_Link,-0.00686726816752589,0.0140780721129675,0.00981142675345359,0,0,0,0.024499897749101,5.53070326477826E-06,9.08262139239753E-08,-1.29518804840443E-07,4.63806899598326E-06,9.03892420528738E-07,1.75455470557498E-06,0,0,0,0,0,0,package://sixArmHand/meshes/CMCXX_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixArmHand/meshes/CMCXX_Link.STL,,CMC XX_link-2,CMCXX_link,CMCXX_axis,CMCXX,revolute,0.029304,0.018361,-0.06071,0.2618,0.17461,0,wristPitch_Link,0,0,-1,0,0,0,0,,,,,,,,
MCXX_Link,-0.0194043184012659,0.00700214256667242,-6.74830684764816E-05,0,0,0,0.011754229849431,7.29057624653911E-07,5.00698001995572E-07,7.23401453610666E-09,1.57194618143418E-06,-3.24812131783767E-09,1.63912335390482E-06,0,0,0,0,0,0,package://sixArmHand/meshes/MCXX_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixArmHand/meshes/MCXX_Link.STL,,MC XX_link-1,MCXX_link,MCXX_axis,MCXX,revolute,-0.0071297,0.020958,-0.016239,-1.5708,-1.3043,1.7628,CMCXX_Link,0,0,-1,0,0,0,0,,,,,,,,
DIPXX_Link,0.0175635726771348,-0.00214075595633695,-0.000834098286775109,0,0,0,0.00414583645243157,1.34865192726364E-07,2.15174090959469E-08,-5.21798695756263E-09,4.1571728795326E-07,2.77385730813226E-10,3.18396659804521E-07,0,0,0,0,0,0,package://sixArmHand/meshes/DIPXX_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixArmHand/meshes/DIPXX_Link.STL,,DIP XX_link-1,DIPXX_link,DIPXX_axis,DIPXX,revolute,-0.039877,0.013184,-0.00075,3.1416,0,-3.1416,MCXX_Link,0,0,-1,0,0,0,0,,,,,,,,
MCPFirstPitch_Link,-3.5994720111298E-05,0.000558365941395605,-0.0209824876083927,0,0,0,0.00422294438972412,4.20193534270754E-07,-7.07215637016003E-10,2.48143462565004E-09,4.49745859832904E-07,-1.19967170913161E-08,9.18449817266635E-08,0,0,0,0,0,0,package://sixArmHand/meshes/MCPFirstPitch_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixArmHand/meshes/MCPFirstPitch_Link.STL,,MCP Pitch_link-1,MCPPitch_link1,MCP_axis1,MCPFirstPitch,revolute,0.028991,0,-0.117,0,0,0,wristPitch_Link,1,0,0,0,0,0,0,,,,,,,,
